date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:46:43	282/282	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Oct%202023%2011:16:45%20GMT	https://demos.thementic.com/robots.txt		(from )
16:46:44	98690/98690	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Oct%202023%2011:16:45%20GMT	https://demos.thementic.com/opencart/OPC02/OPC0200080/?i=78496&aff=entheos	C:/My%20Web%20Sites/fretine/demos.thementic.com/opencart/OPC02/OPC0200080/index3f16.html	(from )
16:46:45	36816/36816	---M-Z	200	added ('OK')	application/javascript	etag:%228fd0-57eb637fc9100-gzip%22	https://demos.thementic.com/opencart/OPC02/OPC0200080/catalog/view/javascript/bootstrap/js/bootstrap.min.js	C:/My%20Web%20Sites/fretine/demos.thementic.com/opencart/OPC02/OPC0200080/catalog/view/javascript/bootstrap/js/bootstrap.min.js	(from https://demos.thementic.com/opencart/OPC02/OPC0200080/?i=78496&aff=entheos)
16:46:45	84245/84245	---M-Z	200	added ('OK')	application/javascript	etag:%2214915-57eb637fc9100-gzip%22	https://demos.thementic.com/opencart/OPC02/OPC0200080/catalog/view/javascript/jquery/jquery-2.1.1.min.js	C:/My%20Web%20Sites/fretine/demos.thementic.com/opencart/OPC02/OPC0200080/catalog/view/javascript/jquery/jquery-2.1.1.min.js	(from https://demos.thementic.com/opencart/OPC02/OPC0200080/?i=78496&aff=entheos)
16:46:46	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%227918-57eb637fc9100-gzip%22	https://demos.thementic.com/opencart/OPC02/OPC0200080/catalog/view/javascript/font-awesome/css/font-awesome.min.css	C:/My%20Web%20Sites/fretine/demos.thementic.com/opencart/OPC02/OPC0200080/catalog/view/javascript/font-awesome/css/font-awesome.min.css	(from https://demos.thementic.com/opencart/OPC02/OPC0200080/?i=78496&aff=entheos)
16:46:47	4592/4592	---M-Z	200	added ('OK')	text/css	etag:%2211f0-57ef0471eb980-gzip%22	https://demos.thementic.com/opencart/OPC02/OPC0200080/catalog/view/theme/fretinespice/stylesheet/themecss/lightbox.css	C:/My%20Web%20Sites/fretine/demos.thementic.com/opencart/OPC02/OPC0200080/catalog/view/theme/fretinespice/stylesheet/themecss/lightbox.css	(from https://demos.thementic.com/opencart/OPC02/OPC0200080/?i=78496&aff=entheos)
16:46:47	8049/8049	---M-Z	200	added ('OK')	text/css	etag:%221f71-580378c013800-gzip%22	https://demos.thementic.com/opencart/OPC02/OPC0200080/catalog/view/javascript/jquery/magnific/magnific-popup.css	C:/My%20Web%20Sites/fretine/demos.thementic.com/opencart/OPC02/OPC0200080/catalog/view/javascript/jquery/magnific/magnific-popup.css	(from https://demos.thementic.com/opencart/OPC02/OPC0200080/?i=78496&aff=entheos)
16:46:48	4529/4529	---M-Z	200	added ('OK')	text/css	etag:%2211b1-580378c013800-gzip%22	https://demos.thementic.com/opencart/OPC02/OPC0200080/catalog/view/javascript/jquery/owl-carousel/owl.carousel.css	C:/My%20Web%20Sites/fretine/demos.thementic.com/opencart/OPC02/OPC0200080/catalog/view/javascript/jquery/owl-carousel/owl.carousel.css	(from https://demos.thementic.com/opencart/OPC02/OPC0200080/?i=78496&aff=entheos)
16:46:48	4632/4632	---M-Z	200	added ('OK')	text/css	etag:%221218-57e3a8e4a7300-gzip%22	https://demos.thementic.com/opencart/OPC02/OPC0200080/catalog/view/javascript/jquery/owl-carousel/owl.transitions.css	C:/My%20Web%20Sites/fretine/demos.thementic.com/opencart/OPC02/OPC0200080/catalog/view/javascript/jquery/owl-carousel/owl.transitions.css	(from https://demos.thementic.com/opencart/OPC02/OPC0200080/?i=78496&aff=entheos)
16:46:48	237759/237759	---M-Z	200	added ('OK')	text/css	etag:%223a0bf-5d3baa6f18ab4-gzip%22	https://demos.thementic.com/opencart/OPC02/OPC0200080/catalog/view/theme/fretinespice/stylesheet/stylesheet.css	C:/My%20Web%20Sites/fretine/demos.thementic.com/opencart/OPC02/OPC0200080/catalog/view/theme/fretinespice/stylesheet/stylesheet.css	(from https://demos.thementic.com/opencart/OPC02/OPC0200080/?i=78496&aff=entheos)
16:46:49	7403/7403	---M-Z	200	added ('OK')	text/css	etag:%221ceb-5809710926580-gzip%22	https://demos.thementic.com/opencart/OPC02/OPC0200080/catalog/view/theme/fretinespice/stylesheet/themecss/carousel.css	C:/My%20Web%20Sites/fretine/demos.thementic.com/opencart/OPC02/OPC0200080/catalog/view/theme/fretinespice/stylesheet/themecss/carousel.css	(from https://demos.thementic.com/opencart/OPC02/OPC0200080/?i=78496&aff=entheos)
16:46:49	11878/11878	---M-Z	200	added ('OK')	text/css	etag:%222e66-5d188561c8964-gzip%22	https://demos.thementic.com/opencart/OPC02/OPC0200080/catalog/view/theme/fretinespice/stylesheet/themecss/custom.css	C:/My%20Web%20Sites/fretine/demos.thementic.com/opencart/OPC02/OPC0200080/catalog/view/theme/fretinespice/stylesheet/themecss/custom.css	(from https://demos.thementic.com/opencart/OPC02/OPC0200080/?i=78496&aff=entheos)
16:46:50	1927/1927	---M-Z	200	added ('OK')	text/css	etag:%22787-5734e9c270700-gzip%22	https://demos.thementic.com/opencart/OPC02/OPC0200080/catalog/view/theme/fretinespice/stylesheet/themecss/animate.css	C:/My%20Web%20Sites/fretine/demos.thementic.com/opencart/OPC02/OPC0200080/catalog/view/theme/fretinespice/stylesheet/themecss/animate.css	(from https://demos.thementic.com/opencart/OPC02/OPC0200080/?i=78496&aff=entheos)
16:46:50	134988/134988	---M-Z	200	added ('OK')	text/css	etag:%2220f4c-5809710926580-gzip%22	https://demos.thementic.com/opencart/OPC02/OPC0200080/catalog/view/theme/fretinespice/stylesheet/themecss/bootstrap.min.css	C:/My%20Web%20Sites/fretine/demos.thementic.com/opencart/OPC02/OPC0200080/catalog/view/theme/fretinespice/stylesheet/themecss/bootstrap.min.css	(from https://demos.thementic.com/opencart/OPC02/OPC0200080/?i=78496&aff=entheos)
16:46:50	7389/7389	---M-Z	200	added ('OK')	application/javascript	etag:%221cdd-5734e9706c580-gzip%22	https://demos.thementic.com/opencart/OPC02/OPC0200080/catalog/view/javascript/lightbox/lightbox-2.6.min.js	C:/My%20Web%20Sites/fretine/demos.thementic.com/opencart/OPC02/OPC0200080/catalog/view/javascript/lightbox/lightbox-2.6.min.js	(from https://demos.thementic.com/opencart/OPC02/OPC0200080/?i=78496&aff=entheos)
16:46:51	17791/17791	---M-Z	200	added ('OK')	text/css	etag:%22457f-5734e99a62880-gzip%22	https://demos.thementic.com/opencart/OPC02/OPC0200080/catalog/view/javascript/jquery/swiper/css/swiper.min.css	C:/My%20Web%20Sites/fretine/demos.thementic.com/opencart/OPC02/OPC0200080/catalog/view/javascript/jquery/swiper/css/swiper.min.css	(from https://demos.thementic.com/opencart/OPC02/OPC0200080/?i=78496&aff=entheos)
16:46:51	2688/2688	---M-Z	200	added ('OK')	text/css	etag:%22a80-57ffaf30fbe00-gzip%22	https://demos.thementic.com/opencart/OPC02/OPC0200080/catalog/view/javascript/jquery/swiper/css/opencart.css	C:/My%20Web%20Sites/fretine/demos.thementic.com/opencart/OPC02/OPC0200080/catalog/view/javascript/jquery/swiper/css/opencart.css	(from https://demos.thementic.com/opencart/OPC02/OPC0200080/?i=78496&aff=entheos)
